"BALANCE","BALANCE_FREQUENCY","PURCHASES","ONEOFF_PURCHASES","INSTALLMENTS_PURCHASES","CASH_ADVANCE","PURCHASES_FREQUENCY","ONEOFF_PURCHASES_FREQUENCY","PURCHASES_INSTALLMENTS_FREQUENCY","CASH_ADVANCE_FREQUENCY","CASH_ADVANCE_TRX","PURCHASES_TRX","CREDIT_LIMIT","PAYMENTS","MINIMUM_PAYMENTS","PRC_FULL_PAYMENT","TENURE"
"C10033",0.353556376370766,1,0.00662628159259961,0.00797203226103223,0,0.0252355561261564,0.083333,0.083333,0,0.111111333333333,0.024390243902439,0.00837988826815642,0.348914858096828,0.0339120808017484,0.0328078949742602,0,1
"C10034",0.00659872597177595,1,0.012985228051551,0.0156224355239351,0,0,0.916667,0.916667,0,0,0,0.0307262569832402,0.0383973288814691,0.00834755942186446,0.00256893749342513,0.3,1
"C10035",0.184691278956907,0.727273,0.0111599673488165,0,0.0243235555555556,0,1,0,1,0,0,0.0391061452513966,0.365609348914858,0.172226170662892,0.233783932049314,0,1
"C10036",0.0869788756607146,1,0,0,0,0.00210585996272767,0,0,0,0.0555553333333333,0.00813008130081301,0,0.0584307178631052,0.00692903688527699,0.00830495751253982,0,1
"C10037",0.390013280510416,1,0,0,0,0.188245649555577,0,0,0,0.484848666666667,0.0894308943089431,0,0.298831385642738,0.0322607616522809,0.0260034492980695,0,0.833333333333333
"C10038",0.212542738963298,1,0.0485434517472319,0.0402875279830722,0.0328168888888889,0.0360153016611095,0.75,0.5,0.75,0.222222,0.0569105691056911,0.114525139664804,0.165275459098498,0.0318966712944313,0.0201701259431928,0,1
"C10039",0.329221893977544,1,0.00415990596981173,0.0050047532889693,0,0.062067732747882,0.083333,0.083333,0,0.222222,0.0975609756097561,0.00558659217877095,0.298831385642738,0.0243893370942858,0.026822299607781,0,1
"C10040",0.0741265535380319,0.454545,0.0196420971880463,0.0236312674415039,0,0.130972593551639,0.083333,0.083333,0,0.222222,0.0487804878048781,0.0167597765363128,0.248747913188648,0.395710933321478,0.00942240200016525,0.333333,1
"C10041",0.0348392050979227,0.727273,0,0,0,0.0664668913798307,0,0,0,0.166666666666667,0.024390243902439,0,0.0584307178631052,0.0604676974679296,0.00370800177436209,0.166667,1
"C10043",0.0412164076592215,0.909091,0.0311297590904651,0.0192903799564537,0.0329017777777778,0.0464265815751339,0.583333,0.416667,0.333333,0.166666666666667,0.0894308943089431,0.0754189944134078,0.0984974958263773,0.0248861291423184,0.00475254139498941,0.111111,1
"C10044",0.21554801930717,1,0.00415623546454424,0.00500033733018492,0,0,0.083333,0.083333,0,0,0,0.00279329608938547,0.148580968280467,0.0171175319021734,0.0235746045802451,0,1
"C10045",0.0714557830219348,1,0,0,0,0.0314313689266036,0,0,0,0.0555553333333333,0.00813008130081301,0,0.0484140233722871,0.00745729537419952,0.00420561450466022,0,1
"C10046",0.279152807571653,1,0.0311063086401451,0.011525652427244,0.0469173333333333,0,1,0.333333,1,0,0,0.0558659217877095,0.282136894824708,0.0281989659896927,0.0172590176968197,0,1
"C10048",0.02491433581209,0.5,0.00223778471140754,0,0.00487733333333333,0.0215044444538015,0.375,0,0.25,0.0833333333333333,0.00813008130081301,0.00837988826815642,0.0550918196994992,0.00346921367662416,0.00192629199499278,0,0.333333333333333
"C10050",0.0120708662742619,1,0.0487483882913329,0.0344182280965378,0.0438964444444444,0,1,0.666667,1,0,0,0.243016759776536,0.108514190317195,0.0501544190109772,0.00229874916910325,0.916667,1
"C10051",0.0453606862271342,1,0.0103487856847032,0.012450550461529,0,0.0147462510625172,0.166667,0.166667,0,0.0555553333333333,0.016260162601626,0.00837988826815642,0.131886477462437,0.0115891230475293,0.00374877430950603,0.083333,1
"C10052",0.258955835534287,1,0.0183814825456259,0.0158501027323745,0.0113488888888889,0.1809748242521,0.625,0.375,0.25,0.583333333333333,0.300813008130081,0.0251396648044693,0.398998330550918,0.159956988942257,0.0132501937312941,0,0.333333333333333
"C10053",0.056654976363308,1,0.0633743321974479,0.0545061792756601,0.0393826666666667,0,0.666667,0.583333,0.5,0,0,0.0502793296089385,0.0818030050083473,0.0275973828189164,0.0173078577329508,0,1
"C10054",0.0822175973811745,1,0,0,0,0.00681752532661894,0,0,0,0.166666666666667,0.024390243902439,0,0.115191986644407,0.0136387265408688,0.00761015261333513,0,1
"C10055",0.0244011329611415,0.888889,0.0403596524194645,0.0485564108068325,0,0.0420318773432686,0.666667,0.666667,0,0.074074,0.00813008130081301,0.0307262569832402,0.0984974958263773,0.0613153649871423,0.00173319636599655,0.2,0.5
"C10059",0.125311834573975,1,0.106396120520633,0.117491244748382,0.0190457777777778,0,0.916667,0.916667,0.5,0,0,0.11731843575419,0.248747913188648,0.111958193396693,0.0171647839422662,0.083333,1
"C10060",0.208533837659584,1,0,0,0,0.00476429361463785,0,0,0,0.121212,0.024390243902439,0,0.131886477462437,0.0150801970091632,0.0209432392115055,0,0.833333333333333
"C10061",0.288497825224037,1,0.00466969836807297,0,0.0101777777777778,0.0205907667373663,0.416667,0,0.333333,0.222222,0.032520325203252,0.0167597765363128,0.198664440734558,0.0416097761819253,0.0248017477085204,0,1
"C10062",0.0986766980179973,0.727273,0.00230426164014081,0.00277224079241927,0,0,0.166667,0.166667,0,0,0,0.00558659217877095,0.215358931552588,0.0691943579234518,0.00717332829690603,0,1
"C10063",0.0816983868545669,1,0.00134993027059577,0.00162409150847925,0,0,0.083333,0.083333,0,0,0,0.00279329608938547,0.0517529215358932,0.00666452271478902,0.0109571819901326,0,1
"C10064",0.0425131065159881,0.909091,0,0,0,0.0810330590924201,0,0,0,0.363636666666667,0.0569105691056911,0,0.136894824707846,0.086198255912645,0.00316239075912316,0.090909,0.833333333333333
"C10067",0.101027821592451,1,0.038492180906154,0,0.0838951111111111,0.0340696725800567,1,0,1,0.0555553333333333,0.032520325203252,0.170391061452514,0.0601001669449082,0.0727108089279328,0.042758023718385,0.083333,1
"C10068",0.0923198653132102,1,0.0084081079830023,0.00797841086816523,0.003872,0,0.583333,0.333333,0.166667,0,0,0.0307262569832402,0.0584307178631052,0.0153268958709845,0.0117514863692024,0,1
"C10069",0.042526994825374,0.875,0,0,0,0.0192718995053262,0,0,0,0.0833333333333333,0.00813008130081301,0,0.0484140233722871,0.00287896545749242,0.00234789005782887,0,0.333333333333333
"C10070",0.0827754849356093,1,0,0,0,0.00812327527876672,0,0,0,0.277778,0.0487804878048781,0,0.0818030050083473,0.0106458487279523,0.00461827305598961,0,1
"C10071",0.209551779840644,1,0.00537321187767348,0.00467600969057622,0.00324,0,0.666667,0.083333,0.583333,0,0,0.0223463687150838,0.198664440734558,0.135579501020095,0.0131087314331162,0.083333,1
"C10072",0.0892413548662432,1,0.0278079518233949,0.0334555490815419,0,0,0.333333,0.333333,0,0,0,0.0111731843575419,0.0550918196994992,0.0320134253281966,0.0120865433135482,0,1
"C10073",0.288171180748894,1,0.00854615976445144,0,0.0186266666666667,0.0132676363885126,0.916667,0,0.833333,0.222222,0.032520325203252,0.0307262569832402,0.207011686143573,0.0253968647630452,0.0285430113960161,0,1
"C10074",0.157034103206147,0.909091,0.0922371464513249,0.0408252936305928,0.127074666666667,0.57908571043575,0.666667,0.5,0.583333,0.555555333333333,0.219512195121951,0.0921787709497207,0.232053422370618,0.556621585899229,0.0144885075908721,0.454545,1
"C10075",0.0344487862614176,1,0,0,0,0.0312778343468146,0,0,0,0.0833333333333333,0.024390243902439,0,0.232053422370618,0.0179491864276989,0.00184492948845138,0.25,0.333333333333333
"C10077",0.0949933968762763,1,0.014557631724748,0.012342114140268,0.00936977777777778,0,0.5,0.1,0.4,0,0,0.0223463687150838,0.0734557595993322,0.017526474264934,0.00815036774364818,0,0.666666666666667
"C10078",0.0279541376713062,0.909091,0.0161489996751603,0.0126747830353583,0.0122355555555556,0,0.272727,0.090909,0.181818,0,0,0.0195530726256983,0.198664440734558,0.0257312873870421,0.00229681894586909,0,0.833333333333333
"C10079",0.307745154798685,1,0.0114574821924417,0.00612100953724432,0.0138831111111111,0,0.833333,0.166667,0.75,0,0,0.0391061452513966,0.198664440734558,0.0392338176204319,0.0282884038253687,0,1
"C10080",0.0907223587937807,1,0.0123596108204048,0.0148697598822411,0,0,1,1,0,0,0,0.0474860335195531,0.365609348914858,0.058355428987445,0.00816213769343023,0,1
"C10081",0.0303946577491058,1,0.00652534269774388,0,0.0142222222222222,0,0.75,0,0.666667,0,0,0.0223463687150838,0.0484140233722871,0.0283679097152555,0.00248890021985474,0,1
"C10082",0.0633150189083117,1,0,0,0,0.00081306890180812,0,0,0,0.0555553333333333,0.00813008130081301,0,0.0383973288814691,0.000576268369860542,0.107879593161839,0,1
"C10083",0.346257032328184,1,0.00792543654032856,0.00953503633966083,0,0.0980527784191536,0.583333,0.583333,0,0.277778,0.0569105691056911,0.0195530726256983,0.232053422370618,0.0320285425270186,0.0327641416334395,0,1
"C10084",0.000911486462450022,0.909091,0.00499290674857059,0.000986476126222822,0.00909511111111111,0,0.666667,0.166667,0.583333,0,0,0.0363128491620112,0.165275459098498,0.00705328185475103,0.00159024099503935,0.181818,1
"C10085",0.00428420508221099,0.272727,0,0,0,0.0633321296388872,0,0,0,0.111111333333333,0.040650406504065,0,0.315525876460768,0.00229724420550646,0.00215523083327469,0,1
"C10086",0.000198828044446052,0.636364,0.00271311514354632,0.000691833542886933,0.00466,0,0.416667,0.166667,0.25,0,0,0.0139664804469274,0.398998330550918,0.00414033876947311,0.00130244125691794,0.444444,1
"C10087",0.00222990710623701,0.545455,0.00807511158845806,0,0.0176,0,0.5,0,0.416667,0,0,0.0335195530726257,0.0383973288814691,0.0143047352168439,0.00184265560195428,1,1
"C10088",0.101630436595426,1,0.100237420515718,0.110775307430464,0.0177893333333333,0.00623381784854217,1,1,0.333333,0.0555553333333333,0.00813008130081301,0.139664804469274,0.298831385642738,0.0970204706523899,0.00778389206148003,0,1
"C10089",0.00708481963594976,1,0.0254447581820151,0.0306124076175289,0,0,1,1,0,0,0,0.0614525139664804,0.549248747913189,0.025140849267916,0.00224246268115667,1,1
"C10090",0.371259725056582,1,0.0327037940993365,0.035453770431476,0.00705066666666667,0.119353772442988,1,0.833333,1,0.5,0.186991869918699,0.0642458100558659,0.365609348914858,0.090490824802885,0.0245561762122388,0,1
"C10092",0.429616741233227,1,0.0460446533279146,0.0323537673648379,0.0417435555555556,0.111403045236038,1,0.75,1,0.5,0.170731707317073,0.167597765363128,0.449081803005008,0.059570996003669,0.0271517585500643,0,1
"C10093",0.212008416852059,1,0.000917626316870234,0.00110398969609617,0,0.00221137526187866,0.083333,0.083333,0,0.0555553333333333,0.00813008130081301,0.00279329608938547,0.148580968280467,0.0211704459152136,0.0126811992959629,0,1
"C10094",0.320864401881451,1,0,0,0,0.0576456225462581,0,0,0,0.277778,0.113821138211382,0,0.215358931552588,0.0296158054705476,0.0374886017166119,0,1
"C10095",0.492631772039157,1,0.103999076664008,0.0281598331748904,0.175655111111111,0.0078650642063348,1,0.25,0.916667,0.0555553333333333,0.00813008130081301,0.128491620111732,0.298831385642738,0.126365647535398,0.128615579069122,0,1
"C10096",0.103817292709968,1,0.0210450458680612,0.00556656137876047,0.035784,0.0919850594701361,0.909091,0.090909,0.818182,0.363636666666667,0.170731707317073,0.0474860335195531,0.131886477462437,0.0602580650661313,0.0119190393027447,0.090909,0.833333333333333
"C10097",0.0693938174023347,1,0.000930880919225026,0.00111993621392867,0,0.0105152153785347,0.083333,0.083333,0,0.0555553333333333,0.00813008130081301,0.00279329608938547,0.0584307178631052,0.00869042715412256,0.00409052564616471,0,1
"C10100",0.0598526801876087,1,0,0,0,0.00255876212225074,0,0,0,0.0555553333333333,0.00813008130081301,0,0.0383973288814691,0.00299230771862292,0.038034767398965,0,1
"C10101",0.08506768476719,1,0.0150784356388117,0.0181407586862523,0,0,0.666667,0.666667,0,0,0,0.0307262569832402,0.198664440734558,0.00822293431723774,0.0050927727500537,0,1
"C10103",0.000247230307397396,0.363636,0.00161094397850552,0,0.00351111111111111,0,0.25,0,0.166667,0,0,0.00837988826815642,0.232053422370618,0.00429346468510532,0.00159361492332374,1,1
"C10105",0.000256044190648372,0.666667,0.000407833918608993,0.000490662087153853,0,0,0.111111,0.111111,0,0,0,0.00279329608938547,0.0484140233722871,0.000521247212366883,0.000796982748510856,0,0.5
"C10106",0.00122849555110311,0.272727,0.0274529323972457,0,0.0598346666666667,0,1,0,1,0,0,0.0335195530726257,0.0651085141903172,0.0140394225082049,0.00071685943478925,0,1
"C10107",0.185883324896629,1,0.0575820709684037,0.0377910392836334,0.0570395555555556,0,0.916667,0.916667,0.833333,0,0,0.209497206703911,0.18864774624374,0.180845416962568,0.0275341177231656,0.083333,1
"C10109",0.0452694484831811,1,0,0,0,0.0195240611533362,0,0,0,0.0555553333333333,0.00813008130081301,0,0.131886477462437,0.0441005029303268,0.00281140833771641,0.083333,1
"C10110",0.128211165575849,1,0.0164764903118033,0.0198227483210157,0,0.0203630470950877,0.25,0.25,0,0.222222,0.0487804878048781,0.0111731843575419,0.131886477462437,0.0105023092921003,0.0134407547226627,0,1
"C10111",0.0214595069879069,1,0.0192016365559486,0,0.0418506666666667,0,1,0,1,0,0,0.0335195530726257,0.0818030050083473,0.0216425251366376,0.00231121910145412,0.083333,1
"C10112",0.261847635477164,1,0,0,0,0.115396464065273,0,0,0,0.388888666666667,0.32520325203252,0,0.265442404006678,0.0244766051911096,0.0188363242159841,0,1
"C10113",0.0654631879126547,1,0.00863996156573151,0.00435806065810052,0.010936,0.0087489064923852,0.666667,0.166667,0.5,0.0555553333333333,0.016260162601626,0.0279329608938547,0.0651085141903172,0.0113758783267151,0.00652232844899328,0,1
"C10114",0.348902657514455,1,0.0913293081485013,0.0667690514888528,0.078096,0.152862686102162,1,0.916667,1,0.388888666666667,0.170731707317073,0.17877094972067,0.298831385642738,0.214069139483568,0.0323213631788733,0.083333,1
"C10115",0.00820330916081934,0.818182,0.027627893148329,0.0143673219049956,0.034188,0,0.916667,0.333333,0.833333,0,0,0.0949720670391061,0.181969949916528,0.0169342052038776,0.00141743445562257,0,1
"C10117",0.279522940886484,1,0.0573455272956105,0.0210278144070655,0.0868924444444444,0.0532562885514211,1,0.25,1,0.222222,0.0650406504065041,0.226256983240223,0.282136894824708,0.0297581044051907,0.0240034537180518,0,1
"C10118",0.339154287495769,1,0,0,0,0.0712861170301856,0,0,0,0.166666666666667,0.0894308943089431,0,0.232053422370618,0.0251908940676679,0.0361239924455299,0,1
"C10119",0.00920760254133235,0.818182,0.0307690299894555,0.0307242785734,0.0114017777777778,0,0.666667,0.416667,0.333333,0,0,0.0391061452513966,0.165275459098498,0.0371475749420566,0.00178808371334602,1,1
"C10120",0.0357186476828324,1,0.0213209455140002,0.0163868870557208,0.0167831111111111,0,1,0.583333,1,0,0,0.0698324022346369,0.0984974958263773,0.0108905200445683,0.00271838292769608,0,1
"C10121",0.0117503538240285,0.636364,0.047100331426234,0,0.102656888888889,0,0.583333,0,0.5,0,0,0.0335195530726257,0.215358931552588,0.0237919608235085,0.00130033557669151,0.333333,1
"C10122",0.0937674710171305,1,0,0,0,0.0122240234516578,0,0,0,0.166666666666667,0.0813008130081301,0,0.0584307178631052,0.013557231526109,0.0319230287814317,0,1
"C10123",0.00288467317647874,0.272727,0.0100938894855726,0,0.022,0,0.166667,0,0.166667,0,0,0.00558659217877095,0.232053422370618,0.0388355750932011,0.00192433089729609,1,1
"C10124",0.139820956698432,1,0,0,0,0.010798767724992,0,0,0,0.222222,0.032520325203252,0,0.0984974958263773,0.0183821566403755,0.00928181169941881,0,1
"C10125",0.446611057636499,1,0.137119065277285,0.100587690514889,0.116630222222222,0.0357806436576553,1,0.916667,1,0.333333333333333,0.0813008130081301,0.237430167597765,0.565943238731219,0.0372368682182219,0.0283671661629412,0,1
"C10127",0.111019445473173,1,0.11380299623345,0,0.248037777777778,0,1,0,1,0,0,0.209497206703911,0.282136894824708,0.070284453545882,0.00824520867415163,0,1
"C10128",0.151046343276725,1,0,0,0,0.0211902366029976,0,0,0,0.111111333333333,0.016260162601626,0,0.105175292153589,0.0210044809697945,0.0184884098575843,0,1
"C10130",0.74694175884839,1,0,0,0,0.097893516198931,0,0,0,0.222222,0.0731707317073171,0,0.632721202003339,0.0604589524864423,0.0445806800371286,0,1
"C10131",0.125657739162089,1,0.254130287031473,0.305742341071483,0,0,0.916667,0.916667,0,0,0,0.606145251396648,0.0918196994991653,0.229265325820197,0.0261886085542007,0,1
"C10132",0.00301700272877708,0.75,0,0,0,0.00578552043740994,0,0,0,0.0833333333333333,0.00813008130081301,0,0.0383973288814691,0.00760633782877215,0.00110826270516663,0.166667,0.333333333333333
"C10133",0.222959838191715,1,0.0399126664446691,0.0264295133245423,0.0391111111111111,0,0.833333,0.166667,0.583333,0,0,0.053072625698324,0.165275459098498,0.0198004108091554,0.0142188710935803,0,1
"C10134",0.586417727036693,1,0.00307180507496293,0.00369566684044282,0,0.177400273409808,0.083333,0.083333,0,0.333333333333333,0.113821138211382,0.00279329608938547,0.565943238731219,0.0513788684259394,0.0378772722240483,0,1
"C10137",0.243544315417721,1,0.0259202925311131,0.00862436750590328,0.0408702222222222,0,0.833333,0.25,0.833333,0,0,0.0921787709497207,0.165275459098498,0.0375774576237208,0.0467535439840159,0,1
"C10138",0.00127526089901013,0.636364,0.00511015900017068,0,0.0111377777777778,0,0.583333,0,0.5,0,0,0.0195530726256983,0.0984974958263773,0.00630331924299317,0.00227223536120938,0,1
"C10139",0.491203717314127,1,0.016238519220295,0.0195364469931614,0,0.291669167450985,0.083333,0.083333,0,0.444444666666667,0.130081300813008,0.00279329608938547,0.432387312186978,0.210258431951461,0.0340398678945711,0.083333,1
"C10140",0.012136076953483,1,0.00897234620939784,0,0.0195555555555556,0,0.916667,0,0.916667,0,0,0.0614525139664804,0.131886477462437,0.0109237256713075,0.00242221053005904,0,1
"C10141",0.0820575525445318,1,0.0271335984389749,0.0286946548498881,0.00715511111111111,0,0.5,0.166667,0.25,0,0,0.0223463687150838,0.0651085141903172,0.0201243154339647,0.00928708662555591,0,1
"C10142",0.131011416586573,1,0.111986911793884,0.0341132816093716,0.182279555555556,0,1,0.5,1,0,0,0.145251396648045,0.565943238731219,0.0200164380814335,0.00806092896719633,0,1
"C10143",0.0370806990021712,1,0.0183088881081135,0.0175293937256586,0.00814844444444444,0.0124374977668386,0.916667,0.333333,0.916667,0.166666666666667,0.024390243902439,0.0502793296089385,0.0383973288814691,0.0191695790369993,0.00241479410198973,0,1
"C10144",1,1,0.448819596093522,0.231815020393143,0.55826,0,1,0.75,1,0,0,0.603351955307263,0.599332220367279,0.453822468553134,0.243710549464859,0,1
"C10145",0.117370533431649,1,0.014694256087482,0.0176785550001533,0,0.0153447498694395,1,1,0,0.0555553333333333,0.00813008130081301,0.0335195530726257,0.0818030050083473,0.0209229684082121,0.00901889978832935,0,1
"C10146",0.0497360667211361,1,0.00401838760005441,0.00364709129381459,0.00215111111111111,0,0.333333,0.25,0.166667,0,0,0.0139664804469274,0.0317195325542571,0.00970301643057966,0.0066665414144211,0,1
"C10147",0.0401216508293893,0.818182,0,0,0,0.0277297376572704,0,0,0,0.111111333333333,0.024390243902439,0,0.248747913188648,0.0308894537312586,0.00226343662364039,0,1
"C10149",0.556550472843905,1,0.0425060823331037,0.0319048115550922,0.0348444444444444,0,0.666667,0.416667,0.583333,0,0,0.0363128491620112,0.716193656093489,0.063475569908212,0.0401552092961972,0,1
"C10150",0.113619861042486,1,0.117850951792603,0.0843087491183416,0.104125777777778,0,1,1,1,0,0,0.270949720670391,0.215358931552588,0.0870709448065261,0.00715151465803934,0,1
"C10151",0.160551294807152,1,0.0209014883287109,0.025146431966635,0,0,0.083333,0.083333,0,0,0,0.00558659217877095,0.248747913188648,0.0137773033804196,0.0107277109436504,0,1
"C10153",0.0139058797564092,1,0.000584222088407382,0.000702873439847895,0,0.00815198365903516,0.083333,0.083333,0,0.0555553333333333,0.00813008130081301,0.00279329608938547,0.298831385642738,0.0243601267213206,0.00254305701119559,0.083333,1
"C10154",0.0581953718662645,0.909091,0.0192693369864377,0.00404698089484498,0.0346666666666667,0,0.5,0.25,0.416667,0,0,0.0251396648044693,0.0484140233722871,0.0385468093409516,0.0129915304551252,0,1
"C10155",0.0476063187348882,1,0.0211910504109233,0.00196264834861541,0.0426311111111111,0.0021872759790067,0.833333,0.083333,0.833333,0.0555553333333333,0.00813008130081301,0.0307262569832402,0.449081803005008,0.0365759749536286,0.00612748232921251,0.083333,1
"C10156",0.403275385294471,1,0.0827888580589104,0,0.180441333333333,0.0117840943759716,0.583333,0,0.5,0.111111333333333,0.0569105691056911,0.0391061452513966,0.232053422370618,0.0726627941575431,0.16824449450268,0,1
"C10157",0.0800241752796447,1,0.0831037058440765,0.0815058419454752,0.0334706666666667,0,1,1,1,0,0,0.0865921787709497,0.215358931552588,0.0444429570701761,0.00430956345396378,0,1
"C10158",0.00258393624795429,1,0.0177456694665145,0,0.0386773333333333,0,1,0,1,0,0,0.0670391061452514,0.265442404006678,0.0164780522869512,0.00252586874374972,1,1
"C10159",0.718005572816669,1,0.199680176641027,0.097146431966635,0.259218666666667,0.051858089325392,1,0.75,1,0.5,0.211382113821138,0.603351955307263,0.666110183639399,0.231011971434893,0.0790822392260643,0,1
